name,generic_name,drug_class,description,contraindications,interactions,side_effects,source,source_url
Amikacin,Amikacin,Aminoglycoside antibiotic,Prescription antibacterial used for selected serious bacterial infections,"Serious aminoglycoside allergy; renal or hearing risk needs review","Avoid other nephrotoxic or ototoxic drugs unless monitored","Kidney injury; hearing or balance changes",DailyMed,https://dailymed.nlm.nih.gov/dailymed/
Amoxicillin,Amoxicillin,Penicillin antibiotic,Penicillin antibacterial used for susceptible bacterial infections,"Serious penicillin allergy","Check anticoagulants and duplicate beta-lactam therapy","Nausea; diarrhea; rash",DailyMed,https://dailymed.nlm.nih.gov/dailymed/
Ampicillin,Ampicillin,Penicillin antibiotic,Penicillin antibacterial used for susceptible bacterial infections,"Serious penicillin allergy","Check anticoagulants and duplicate beta-lactam therapy","Nausea; diarrhea; rash",DailyMed,https://dailymed.nlm.nih.gov/dailymed/
Azithromycin,Azithromycin,Macrolide antibiotic,Macrolide antibacterial used for selected bacterial infections,"Macrolide allergy; rhythm or liver conditions need review","Check QT-prolonging drugs; avoid duplicate macrolide therapy","Nausea; diarrhea; rhythm changes",DailyMed,https://dailymed.nlm.nih.gov/dailymed/
Cefazolin,Cefazolin,Cephalosporin antibiotic,First-generation cephalosporin antibacterial,"Serious cephalosporin or beta-lactam allergy","Check anticoagulants and duplicate beta-lactam therapy","Rash; diarrhea; injection reactions",DailyMed,https://dailymed.nlm.nih.gov/dailymed/
Cefepime,Cefepime,Cephalosporin antibiotic,Fourth-generation cephalosporin antibacterial,"Serious cephalosporin or beta-lactam allergy; renal dosing needs review","Check other medicines affecting the nervous system or kidney","Rash; diarrhea; confusion risk",DailyMed,https://dailymed.nlm.nih.gov/dailymed/
Cefixime,Cefixime,Cephalosporin antibiotic,Third-generation cephalosporin antibacterial,"Serious cephalosporin or beta-lactam allergy","Check anticoagulants and duplicate beta-lactam therapy","Diarrhea; nausea; rash",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Ceftriaxone,Ceftriaxone,Cephalosporin antibiotic,Third-generation cephalosporin antibacterial,"Serious cephalosporin or beta-lactam allergy","Check calcium-containing IV products and duplicate beta-lactams","Diarrhea; rash; injection reactions",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Ciprofloxacin,Ciprofloxacin,Fluoroquinolone antibiotic,Fluoroquinolone antibacterial used for selected infections,"Fluoroquinolone allergy; tendon or rhythm risks need review","Separate from antacids, iron or calcium; check QT-prolonging drugs","Nausea; tendon pain; nervous-system effects",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Clarithromycin,Clarithromycin,Macrolide antibiotic,Macrolide antibacterial used for selected bacterial infections,"Macrolide allergy; rhythm or liver conditions need review","Check QT-prolonging drugs and medicines metabolized by CYP3A4","Nausea; altered taste; rhythm changes",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Clindamycin,Clindamycin,Lincosamide antibiotic,Lincosamide antibacterial used for susceptible infections,"Serious clindamycin or lincomycin allergy","Tell the clinician about medicines that affect neuromuscular function","Diarrhea; abdominal pain; colitis risk",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Daptomycin,Daptomycin,Lipopeptide antibiotic,Cyclic lipopeptide antibacterial for selected serious infections,"Serious daptomycin allergy; muscle disease needs review","Check statins and other medicines affecting muscle","Muscle pain; raised muscle enzymes; injection reactions",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Doxycycline,Doxycycline,Tetracycline antibiotic,Tetracycline antibacterial used for susceptible bacterial infections,"Tetracycline allergy; pregnancy or young-child use needs review","Separate from antacids, iron, calcium or magnesium","Nausea; sun sensitivity; esophageal irritation",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Ertapenem,Ertapenem,Carbapenem antibiotic,Carbapenem antibacterial for selected serious infections,"Serious beta-lactam allergy; seizure risk needs review","Check valproate because levels may fall; review other beta-lactams","Diarrhea; nausea; injection reactions",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Gentamicin,Gentamicin,Aminoglycoside antibiotic,Aminoglycoside antibacterial for selected serious infections,"Serious aminoglycoside allergy; renal or hearing risk needs review","Avoid other nephrotoxic or ototoxic drugs unless monitored","Kidney injury; hearing or balance changes",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Imipenem,Imipenem,Carbapenem antibiotic,Carbapenem antibacterial usually administered with cilastatin,"Serious beta-lactam allergy; seizure risk needs review","Check valproate because levels may fall; review other beta-lactams","Diarrhea; nausea; seizure risk",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Levofloxacin,Levofloxacin,Fluoroquinolone antibiotic,Fluoroquinolone antibacterial used for selected infections,"Fluoroquinolone allergy; tendon or rhythm risks need review","Separate from antacids, iron or calcium; check QT-prolonging drugs","Nausea; tendon pain; rhythm changes",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Linezolid,Linezolid,Oxazolidinone antibiotic,Oxazolidinone antibacterial for selected resistant infections,"Serious linezolid allergy; uncontrolled hypertension needs review","Avoid MAO inhibitors and review serotonergic or adrenergic medicines","Nausea; headache; blood-count changes",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Meropenem,Meropenem,Carbapenem antibiotic,Carbapenem antibacterial for selected serious infections,"Serious beta-lactam allergy; seizure risk needs review","Check valproate because levels may fall; review other beta-lactams","Diarrhea; nausea; rash",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Metronidazole,Metronidazole,Nitroimidazole antibiotic,Nitroimidazole antimicrobial used for selected anaerobic and parasitic infections,"Nitroimidazole allergy; certain neurologic or liver conditions need review","Avoid alcohol during treatment and for the label-specified interval; check warfarin","Nausea; metallic taste; nerve symptoms",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Nitrofurantoin,Nitrofurantoin,Nitrofuran antibiotic,Nitrofuran antibacterial commonly used for selected urinary infections,"Severe renal impairment or nitrofurantoin allergy needs review","Check antacids and medicines that affect kidney function","Nausea; headache; lung or liver symptoms",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Oxacillin,Oxacillin,Penicillin antibiotic,Penicillinase-resistant penicillin antibacterial,"Serious penicillin allergy","Check anticoagulants and duplicate beta-lactam therapy","Rash; diarrhea; liver enzyme changes",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Piperacillin/Tazobactam,Piperacillin/Tazobactam,Penicillin beta-lactamase inhibitor combination,Combination antibacterial used for selected serious infections,"Serious penicillin or beta-lactam allergy; renal dosing needs review","Check anticoagulants, kidney-toxic drugs and duplicate beta-lactams","Diarrhea; rash; electrolyte changes",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Rifampin,Rifampin,Rifamycin antibiotic,Rifamycin antibacterial used in specific treatment regimens,"Rifamycin allergy; liver disease or interacting medicines need review","Strong enzyme inducer: check anticoagulants, contraceptives and antivirals","Liver injury; orange body fluids; nausea",DailyMed,https://dailym.nlm.nih.gov/dailymed/
Vancomycin,Vancomycin,Glycopeptide antibiotic,Glycopeptide antibacterial for selected serious gram-positive infections,"Serious vancomycin allergy; renal or hearing risk needs review","Avoid other nephrotoxic or ototoxic drugs unless monitored","Kidney injury; infusion reaction; hearing changes",DailyMed,https://dailym.nlm.nih.gov/dailymed/
